adress,number,email,social_netwoks,undegroud,latitude,logitute,offical_site,id,name,img_url,content
"Москва , ш. Ярославское, 124",74991818364,,https://vk.com/mcmc_ru,Бабушкинская ,,,,10,Многофункциональный культурный центр,https://www.2do2go.ru/uploads/934aba9778aba05ac41929df902ef5ba_w500_h500.jpg,"Московский многофункциональный культурный центр — площадка Департамента культуры города Москвы для творческого развития и интеллектуального отдыха москвичей. В Центре работают творческие мастерские для детей и взрослых, проходят концерты, спектакли, выставки, мастер-классы, открыл свои двери первый в Ярославском районе Соседский центр, а в Арт-резиденции артисты и творческие коллективы развивают свои таланты. В Центре также успешно реализуются проекты — Школа добрососедских отношений, Школа молодого москвича, и ведется работа в сфере развития культурных международных отношений. Еженедельно по понедельникам с 16:00 до 18:00 часов проходит день приема граждан. Вы можете прийти на личный прием к Директору ММКЦ и задать интересующие вопросы по работе Центра, предложить идеи и проекты в сфере культуры для района и округа. ММКЦ — это современное пространство и философия неравнодушного отношения к городу и его культуре."
"Москва , ул. Дзержинского, 26",74955124467 74955124369,priem@kostino.com,https://vk.com/dkostino,"<a href=""tel:74955124467""",,,http://kostino.org,11,Деловой и культурный центр «Костино»,https://www.2do2go.ru/uploads/0367114d65a6f7458efeb4b6dfdb63c7_w500_h500.jpg,
"Москва , Москва, Капотня, 2-й квартал, д.20А",74953551938,dk-kapotnja@mail.ru,https://vk.com/dk_kapotnya,"<a href=""tel:74953551938""",,,http://www.dk-kapotnja.ru,12,ДК «Капотня»,https://www.2do2go.ru/uploads/bb6d0176eaf0319d3d84c158ea62141e_w500_h500.jpg,"Еще в древности общение между людьми происходило только на территории, на которой они жили. Благодаря новейшим технологиям, появилась возможность общаться друг с другом, находясь в любой точке земного шара. Однако при таких возможностях некоторые все равно ощущают нехватку человеческого общения. Избежать этого вам поможет Дворец культуры «Капотня», учреждение, олицетворяющее мировое достижение России в области культуры. На площадке ДК происходит процесс общения, обмен знаниями и идеями, а также диалог разных культур. Здесь любой желающий может с комфортом и пользой провести свое время, отдохнуть, завести новые знакомства, поучаствовать в спортивных и интеллектуальных играх, позаниматься в кружках, поработать или сделать уроки. Открытая территория творчества представит вашему вниманию живопись и компьютерную графику, де купаж и вышивку, песню и танец. На территории ДК «Капотня» проходят разнообразные фестивали, которые помогут вам получить  бесценный опыт, познакомиться с разнообразными творческими коллективами, а также привнести в вашу жизнь яркие краски. Представители культурного учреждения стремятся, чтобы концерты самодеятельности становились универсальной площадкой для реализации талантов и стремлений. Каждый конкурс – это различные номинации, представляющие самые разные виды искусств – вокальное, инструментальное, цирковое, изобразительное, хореографическое и т.д. Лектории, современные познавательные программы и события, образовательные курсы, а также экскурсии и «путешествия» по пространствам Дворца культуры надолго запомнятся вам и вашим детям. На базе территории развития существует масса полезных и познавательных кружков и секций, включающие следующие направления: музыка, театр, вокал, фольклор, изобразительное искусство, декоративно-прикладное творчество, научно-технические эксперименты, медийные технологии, иностранные языки и др. Ежедневно в культурном центре проходят мероприятия и праздники для взрослых и детей, просмотры фильмов и мультиков, конкурсы караоке, танцевальные вечера, спортивные мероприятия, спектакли и многое другое. "
"Москва , ул. Коминтерна, 11/7 data-reactid=""723"">Бабушкинская data-reactid=""729""><a href=""tel:+74954714566"" data-reactid=""730"">+74954714566</a> data-reactid=""733""><a href=""mailto:nakominterna@yandex.ru"" data-reactid=""734"">nakominterna@yandex.ru</a> data-reactid=""737""><a href=""https://m-c-m-c.ru/"" target=""_blank noopener noreferrer"" data-reactid=""738"">m-c-m-c.ru</a> data-reactid=""741""> 0 руб.",+74954714566,nakominterna@yandex.ru,https://vk.com/nakominterna,"Бабушкинская  <div class=""social-links""",,,https://m-c-m-c.ru/,13,ММКЦ на Коминтерна,https://www.2do2go.ru/uploads/f3a0f2f731668c7e5e2f7a6c0d1ace5c_w500_h500.jpg,"ММКЦ на Коминтерна – площадка Московского многофункционального культурного центра, направленная на развитие детей и взрослых. Здесь проходят мастер-классы, праздники, семейные мероприятия, кружки и занятия 0+. ММКЦ на Коминтерна организовывает досуг для людей разных возрастов. В Центре проходит двадцать энергичных, интеллектуальных и творческих кружков, половина из которых бесплатные. Среди них есть творческие занятия, например, «Мастерская детского творчества», где дети 4-7 лет создают поделки из бумаги, картона, пластилина, природных и других материалов. Кружок «Раннее развитие» помогает малышам развиваться правильно относительно их возраста, а мам знакомит с особенностями развития навыков ребёнка от 1 года до 3 лет. Для молодых мам проводятся встречи по четвергам в релакс-мастерской «Мамино время». Формат подходит для мам с детьми любого возраста. Встречи проводит психолог, общение с которым ведется не в формате лекции, а – диалога. Мамы разговаривают о воспитании, делятся секретами и лайфхаками, занимаются арт-терапией.  Театральная студия и вокальный ансамбль «Сюрприз» помогают детям 9-11 раскрыть творческий потенциал под руководством опытных преподавателей. Участники этих студий выступают на конкурсах и городских праздниках, поэтому отбор в них происходит после прослушивания.  Для активных и любознательных детей есть сразу несколько кружков – «Игровая мастерская» и «Клуб юных путешественников». Научиться презентовать себя и делать это грамотно ребята смогут в студии «Культура речи» и Клубе «Перспектива». Занятия в «Фабрике праздника» готовят юных аниматоров и организаторов мероприятий. Взрослые здесь тоже найдут подходящее – для них организованна «Художественная мастерская», где учатся рисовать по классическим методам академического рисунка, и «Культура тела», где можно получить здоровое тело и подтянутые мышцы на групповых занятиях. "
"Москва , ул. Покровка, 27, стр. 1",74952235810,pokrovka_27@mail.ru,,Курская ,,,http://www.dbiblio.org,14,Культурный центр «Покровские ворота»,https://www.2do2go.ru/uploads/884138a6140104eba9e39a403cae9253_w500_h500.jpg,"Центр открыт в 1993 году, но активную работу начал только в 2005 году. В «Покровских воротах» гармонично переплелись история и христианская культура как западноевропейского католичества, так и восточноевропейского православия. Основной своей целью центр считает возрождение и продвижение христианской культуры через уникальные проекты. Здесь проходят регулярные встречи, семинары, выставки, концерты и презентации. Каждый сможет найти для себя что-то познавательное и интересное."
"Москва , Земляной вал, д.27, стр.3",74959179103,info@dkgk.ru,http://vk.com/dkgk1,Особняк ,,,http://dkgk.ru,15,ДК Гайдаровец,https://www.2do2go.ru/uploads/a6a5a8012903ac199b8a3cc215df6cd6_w500_h500.jpg,"Государственное бюджетное учреждение культуры города Москвы Дом культуры «Гайдаровец». Дом культуры «Гайдаровец» – это широчайший спектр популярных форм народного творчества и досуга. Дом культуры насчитывает около 120 коллективов: хореографические, вокальные, театральные, художественно-прикладные, спортивно-оздоровительные. Регулярно проводятся вечера отдыха, концерты, конкурсы, спортивные соревнования и интересные встречи. Дом Культуры расположился в жилом доме XVIII века, площадью почти 1 300 кв. м. Здания является объектом культуры федерального значения, во дворе расположен парк."
"Москва , пр-т Лермонтовский, 2/2",74957009526,info@kclider.ru,https://vk.com/kclider,"<a href=""tel:74957009526""",,,http://lider.arts.mos.ru/,16,Культурный центр «Лидер»,https://www.2do2go.ru/uploads/d097466d9992047d3bab6d02f1e7e4b3_w500_h500.jpg,"Культурный центр «Лидер» расположен в городе Москве по адресу: Лермонтовский пр-т, 2/2. Всю информацию о работе КЦ «Лидер» можно узнать по телефону: +7 (495) 700-95-25. Приглашаем всех жителей города посетить культурный центр «Лидер»! <br />"
"Москва , ул. Братеевская, 16, корп. 3",74953406367,,,"<a href=""tel:74953406367""",,,http://dkbrateevo.ru,17,Дом культуры «Братеево»,https://www.2do2go.ru/uploads/993fa1461508bce5aa7838fa98b6ea27_w500_h500.jpg,.
,,,,,,,,18,,https://www.2do2go.ru_w500_h500.,
"Москва , пер. Курсовой, 17, стр. 1 data-reactid=""673"">2 этаж data-reactid=""676"">Кропоткинская data-reactid=""682""><a href=""tel:84993914639"" data-reactid=""683"">84993914639</a> data-reactid=""686""><a href=""mailto:hello@synchronize.ru"" data-reactid=""687"">hello@synchronize.ru</a> data-reactid=""690""><a href=""http://synchronize.ru"" target=""_blank noopener noreferrer"" data-reactid=""691"">synchronize.ru</a> data-reactid=""694""> 900 руб.",84993914639,hello@synchronize.ru,https://vk.com/synchronization_community,"2 этаж  <div class=""social-links""",,,http://synchronize.ru,19,Лекторий «Синхронизации»,https://www.2do2go.ru/uploads/7c409d4f3c8dac366a305bd1e3bf86cf_w500_h500.jpg,"Лекторий культурной платформы «Синхронизация» находится в самом центре Москвы. Каждый месяц здесь читают более 70 лекций, из которых вам обязательно что-то придется по душе.  Лекторы «Синхронизации» могут стать вашими любимыми преподавателями. Они — настоящие ученые и превосходные рассказчики, с которыми каждая тема оживает и захватывает. Чтобы найти лектора, организация проводит до 20 собеседований и выбирает только тех, кто дарит и знания, и радость от их получения.  Выбирайте свои темы и развивайтесь с удовольствием вместе с «Синхронизацией»!<br />"
"Москва , ул.Партизанская, 23",74991413381,dk_zodchie@mail.ru,http://vk.com/dk_zodchie_moscow,Молодежная ,,,http://zodchie.ru,20,Дом культуры «Зодчие»,https://www.2do2go.ru/uploads/b2d9c9bb38b4e640fa9d700510300b56_w500_h500.jpg,"Дом культуры – современный культурный досуг для всех. На базе дома культуры «Зодчие» работают творческие студии различных направлений, проводятся фестивали, выставки, акции, организуется культурный отдых."
"Санкт-Петербург , пр-т Дворцовый, 12/8",+79118249330,lomgdk@mail.ru,https://vk.com/lomgdk,"<a href=""tel:+79118249330""",,,http://lgdk.ru/,21,Ломоносовский дом культуры на Дворцовом,https://www.2do2go.ru/uploads/f0e2d77046480eb97afc9dbbd6c7f2e7_w500_h500.jpg,"Ломоносовский городской дом культуры — одно из тех учреждений в городе, в котором каждый найдёт себе занятие по душе. Здесь работают творческие коллективы самых разных направлений, как бюджетные, так и платные, а также клубы по интересам. На сегодняшний день Дом культуры имеет два здания, одно — на Ораниенбаумском проспекте, второе – на Дворцовом проспекте. В 2015 году завершены основные ремонтно-реставрационные работы по восстановлению памятника культурно-исторического значения — здания Дома культуры, расположенного по адресу: Дворцовый пр-т, 12/8."
"Москва , пр-т Волгоградский, 46/15",74991783606,info@mskcc.ru,https://vk.com/kcmoskvich,Текстильщики ,,,http://mskcc.ru,22,Культурный центр «Москвич»,https://www.2do2go.ru/uploads/2f3ebb4f7b58a6b06af6ff44595d6449_w500_h500.jpg,"&laquo;Москвич&raquo;&nbsp;&ndash; один из столичных культурных центров. Это просторная площадка для проведения концертно-развлекательных мероприятий, пространство для отдыха и культурного развития горожан любого возраста и самых разных интересов. Сейчас в культурном центре много творческих студий, клубов по интересам и обучающих программ. Работу осуществляют восемь народных коллективов. Здесь расположена большая сцена, рассчитанная на 1000 посетителей. На ней проходят различные детские спектакли. Есть еще два зала на 266 и 50 мест.&nbsp;"
"Москва , г. Сергиев Посад, мкр. Семхоз, ул. Парковая, 16",74965457575,info@radubrava.ru,https://vk.com/radubrava,"<a href=""tel:74965457575""",,,http://radubrava.ru,23,Культурно-просветительский центр «Дубрава»,https://www.2do2go.ru/uploads/3b559c9be2d6afcb9704bed5e164c0ea_w500_h500.jpg,"Культурно-просветительский центр «Дубрава» имени протоиерея Александра Меня в микрорайоне Семхоз носит имя известного православного священника, который жил и трудился в этом месте. «Дубрава» сегодня – центр культурно-просветительской деятельности города Сергиева Посада. Еженедельно в учреждении проводятся концерты, лекции по истории, культуре и истории музыки. Регулярно открываются выставки изобразительного искусства. Театральные постановки, научные семинары и кинопоказы – всему этому также есть место в стенах «Дубравы». Для детей и молодежи работают студия современной музыки Indigo Land, творческая мастерская и кружок английского языка. В «Дубраве» открыта постоянно действующая экспозиция «Протоиерей Александр Мень: путь человеческий». Ежегодно проводится научная конференция «Меневские чтения». Два раза в год здесь проходят крупные фестивали: это фестиваль современной музыки «Дубрава Музыка» (в июне) и фестиваль авторской песни памяти Александра Галича «Когда я вернусь» (в ноябре)."
"Москва , пер. Сивцев Вражек, 21",79175341693,,https://vk.com/newacropolis.arbat, вход во двор через арку с воротами дома 19 ,,,,24,КЦ «Новый Акрополь» на Арбате,https://www.2do2go.ru/uploads/328c2fd4fdd22a367f4ebed187d5e4b0_w500_h500.jpg,"Культурный центр «Новый Акрополь» занимается просветительской, экологической, добровольческой деятельностью. В основе организации лежит философская школа классического образца. Культурный центр ежемесячно набирает слушателей на курс «Философия для жизни» с возможностью последующего углубленного изучения философии Востока и Запада. Культурный центр «Новый Акрополь» – это: Очень много полезной и интересной информации. С удовольствием посещаю лекции &nbsp;и буду продолжать это делать!"
"Москва , ул. Восточная, 4, корп. 1",74956751636,welcome@zilcc.ru,http://vk.com/zilcc,5 минут от метро «Автозаводская» ,,,http://zilcc.ru,25,Культурный центр ЗИЛ,https://www.2do2go.ru/uploads/c744ade7e901e7e1e60a0ddc6cfb6c79_w500_h500.jpg,"<strong>Культурный центр </strong><strong>ЗИЛ</strong> – это не просто культурный центр, это сооружение с богатой историей, своим характером, традициями и множеством особенностей. На сегодняшний день он стал средоточием культуры и творческого развития для многих жителей города. В ЗИЛе существует несколько направлений: творческое развитие, практические занятия искусством, лекторий, танцевальные кружки и общественный центр, в который входит библиотека. Еще при создании этот культурный центр поставил перед собой задачу – стать лучшим в столице, со своими проектами и специальными предложениями, и на сегодняшний день он успешно эту цель выполняет. С каждым днем тут открывается все новые и новые студии, которые призваны развивать творческие потенциалы и таланты. В 2012 году центр отметил свой день рождения – ему исполнилось 75 лет. <b>Работа кассы:</b> с 11:00 до 20:00 по будням и с 10:00 до 19:00 в выходные дни. Расплачиваться возможно как наличными, так и кредитными картами. Участник <a target=""_blank"" href=""https://www.2do2go.ru/articles/2280/akciya-noch-muzeev-v-moskve"">акции «Ночь музеев 2016»</a>. ЗИЛ - культурно- досуговойцентр Москвы. Московские власти фактически из скучного здания превратили место в мекку творческих людей. Здесь можно интересно провести время с детьми , да и в одиночку тоже неплохо.Здание культурного центра, памятник архитектуры 1930-х годов, что придает &nbsp;месту особый шарм.<br /><br /> Неплохое место! Можно сказать удачное, особенно для жителей района - много секций, кружков, библиотеки. Часто проводятся различные мероприятия - экскурсии на крышу (с которой видны все высотки Москвы), спектакли, праздники. Очень понравилось! Буду ходить на нехоторые лекции и мероприятия!"
